TLS/HTTPS, [200], [cmproxy][Coremail][JAVA], https://mail.wtu.edu.cn/, [武汉纺织大学邮件系统]
TLS/HTTPS, [302], [openresty], https://ehall.wtu.edu.cn/, [302 Found]
TLS/HTTPS, [403], , https://mobile.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://xyh.wtu.edu.cn/, [武汉纺织大学校友工作处、校友会、教育发展基金会]
TLS/HTTPS, [403], , https://ftp.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://student.wtu.edu.cn/, [武汉纺织大学-党委学生工作部 学生工作处 武装部]
TLS/HTTPS, [403], , https://2www.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://art.wtu.edu.cn/, [武汉纺织大学-艺术与设计学院]
TLS/HTTPS, [403], , https://2cibe.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://zwhzbx.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://mcs.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://adv.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][The-enterprise-QQ][JAVA], https://hq.wtu.edu.cn/, [后勤保障处]
TLS/HTTPS, [200], [jQuery][JAVA], https://fe.wtu.edu.cn/, [武汉纺织大学经济学院]
TLS/HTTPS, [403], , https://hcxy.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://artm.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [JAVA], https://acc.wtu.edu.cn/, [武纺会计学院]
TLS/HTTPS, [403], , https://cibe.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][Bootstrap][JAVA], https://cwc.wtu.edu.cn/, [财务处2024]
TLS/HTTPS, [200], [jQuery][JAVA], https://etc.wtu.edu.cn/, [信息化工作办公室(信息计算中心)-武汉纺织大学]
TLS/HTTPS, [403], , https://eco.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://bifca.wtu.edu.cn/, [伯明翰时尚创意学院-武汉纺织大学]
TLS/HTTPS, [200], [jQuery][JAVA], https://fgc.wtu.edu.cn/, [武汉纺织大学发展规划处（学科建设办公室）]
TLS/HTTPS, [200], [jQuery][JAVA], https://cfd.wtu.edu.cn/, [武汉纺织大学-教师发展中心]
TLS/HTTPS, [200], [The-enterprise-QQ][JAVA][jQuery], https://dag.wtu.edu.cn/, [档案馆]
TLS/HTTPS, [403], , https://cfa.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://dangwei.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://fl.wtu.edu.cn/, [外国语学院]
TLS/HTTPS, [200], [jQuery][JAVA], https://bwc.wtu.edu.cn/, [武汉纺织大学保卫处]
TLS/HTTPS, [200], [jQuery][JAVA], https://em.wtu.edu.cn/, [武汉纺织大学-管理学院]
TLS/HTTPS, [200], [jQuery][JAVA], https://ec.wtu.edu.cn/, [武汉纺织大学化学与化工学院]
TLS/HTTPS, [200], [jQuery][Bootstrap][JAVA], https://english.wtu.edu.cn/, [WUHAN TEXTILE UNIVERSITY]
TLS/HTTPS, [200], [jQuery][JAVA], https://dpm.wtu.edu.cn/, [武汉纺织大学实验室与设备管理处]
TLS/HTTPS, [403], , https://csct2016.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://mc.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://jxjy.wtu.edu.cn/, [武汉纺织大学继续教育学院]
TLS/HTTPS, [403], , https://jxcg.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://sfzx.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [JAVA][jQuery][Bootstrap], https://mks.wtu.edu.cn/, [马克思主义学院]
TLS/HTTPS, [403], , https://hqc.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://ma.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://lib.wtu.edu.cn/, [武汉纺织大学图书馆]
TLS/HTTPS, [502], [none], https://sam.wtu.edu.cn/, [访问出错 - 502]
TLS/HTTPS, [200], [JAVA][jQuery], https://rsc.wtu.edu.cn/, [党委教师工作部人事处]
TLS/HTTPS, [200], [jQuery][JAVA], https://jwc.wtu.edu.cn/, [武汉纺织大学教务处]
TLS/HTTPS, [200], [JAVA][jQuery], https://me.wtu.edu.cn/, [武汉纺织大学机械工程与自动化学院]
TLS/HTTPS, [403], , https://keylabnt.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://jjc.wtu.edu.cn/, [武纺基建处]
TLS/HTTPS, [403], , https://sites.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://hvt.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://gs.wtu.edu.cn/, [武汉纺织大学研究生院、研究生工作部]
TLS/HTTPS, [403], , https://shpg.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://rsgl.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://kyc.wtu.edu.cn/, [武汉纺织大学科学技术发展院]
TLS/HTTPS, [200], [jQuery][JAVA], https://welcome.wtu.edu.cn/, [武汉纺织大学迎新网]
TLS/HTTPS, [403], , https://strz.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://sz.wtu.edu.cn/, [武汉纺织大学思政网]
TLS/HTTPS, [200], [jQuery][Bootstrap][JAVA], https://te.wtu.edu.cn/, [武汉纺织大学 纺织科学与工程学院]
